Date : 2024-03-11 09:52:51
Directory : c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360
Total : 235 files,  395604 codes, 622 comments, 1937 blanks, all 398163 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\register\student\styles.module.css                                                                | CSS                |        113 |          0 |         13 |        126 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\register\teacher\formikData.jsx                                                                   | JavaScript JSX     |         41 |          0 |         13 |         54 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\register\teacher\index.jsx                                                                        | JavaScript JSX     |        590 |         20 |         71 |        681 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\register\teacher\styles.module.css                                                                | CSS                |        113 |          0 |         14 |        127 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\resetPassword\formikData.jsx                                                                      | JavaScript JSX     |         11 |          0 |          4 |         15 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\resetPassword\index.jsx                                                                           | JavaScript JSX     |        151 |          3 |         20 |        174 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\resetPassword\styles.module.css                                                                   | CSS                |         59 |          0 |          9 |         68 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\sendVerifyEmail\formikData.jsx                                                                    | JavaScript JSX     |          7 |          0 |          3 |         10 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\sendVerifyEmail\index.jsx                                                                         | JavaScript JSX     |        127 |          3 |         15 |        145 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\sendVerifyEmail\styles.module.css                                                                 | CSS                |         54 |          0 |          8 |         62 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\verifyEmail\index.jsx                                                                             | JavaScript JSX     |          8 |          1 |          5 |         14 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\banner-section\banner-section.css                                                                      | CSS                |          3 |          0 |          0 |          3 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\banner-section\banner-section.jsx                                                                      | JavaScript JSX     |         20 |          0 |          8 |         28 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\become-instructor-section\become-instructor-section.jsx                                                | JavaScript JSX     |         39 |          0 |          4 |         43 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\blog-section\blog-section-slider.jsx                                                                   | JavaScript JSX     |         58 |          0 |          6 |         64 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\blog-section\blog-section.jsx                                                                          | JavaScript JSX     |         22 |          0 |          4 |         26 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\clients-section\clients-section.jsx                                                                    | JavaScript JSX     |         26 |          0 |          1 |         27 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\clients-section\clients-slider.jsx                                                                     | JavaScript JSX     |         45 |          0 |          3 |         48 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\constants\index.js                                                                                     | JavaScript         |        514 |          0 |          4 |        518 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\counter-section\counter-section.css                                                                    | CSS                |          3 |          0 |          1 |          4 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\counter-section\counter-section.jsx                                                                    | JavaScript JSX     |         55 |          0 |          3 |         58 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\dashboard\ButtonList.jsx                                                                               | JavaScript JSX     |         66 |          0 |          7 |         73 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\dashboard\Navbar.jsx                                                                                   | JavaScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\dashboard\NavigationButton.jsx                                                                         | JavaScript JSX     |         45 |          0 |          6 |         51 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\dashboard\Sidebar.jsx                                                                                  | JavaScript JSX     |        187 |          0 |         18 |        205 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\dashboard\content\index.jsx                                                                            | JavaScript JSX     |         13 |          0 |          6 |         19 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\dashboard\panels\admin\generalTopPageBanner\formikData.jsx                                             | JavaScript JSX     |         29 |          0 |         11 |         40 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\dashboard\panels\admin\generalTopPageBanner\index.jsx                                                  | JavaScript JSX     |        489 |         25 |         65 |        579 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\dashboard\panels\admin\slider\formikData.jsx                                                           | JavaScript JSX     |         29 |          0 |         11 |         40 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\dashboard\panels\admin\slider\index.jsx                                                                | JavaScript JSX     |        597 |         29 |         73 |        699 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\dashboard\sidebar\index.jsx                                                                            | JavaScript JSX     |         69 |         20 |         32 |        121 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\dashboard\sidebar\styles.module.css                                                                    | CSS                |         39 |          0 |          7 |         46 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\featured-courses\featured-card.css                                                                     | CSS                |         39 |          0 |          2 |         41 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\featured-courses\featured-card.jsx                                                                     | JavaScript JSX     |        168 |          0 |         13 |        181 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\footer\footer.jsx                                                                                      | JavaScript JSX     |        128 |          0 |          5 |        133 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\formElements\errorText\index.jsx                                                                       | JavaScript JSX     |          9 |          1 |          3 |         13 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\formElements\errorText\styles.module.css                                                               | CSS                |          9 |          0 |          0 |          9 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\formElements\imageUploader\index.jsx                                                                   | JavaScript JSX     |         77 |          2 |         12 |         91 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\formElements\input\index.jsx                                                                           | JavaScript JSX     |         19 |          0 |          6 |         25 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\formElements\input\styles.module.css                                                                   | CSS                |         30 |          0 |          2 |         32 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\formElements\select\index.jsx                                                                          | JavaScript JSX     |         19 |          0 |          9 |         28 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\formElements\select\styles.module.css                                                                  | CSS                |         30 |          0 |          2 |         32 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\header\DropDown.jsx                                                                                    | JavaScript JSX     |         25 |          0 |          3 |         28 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\header\MenuItems.jsx                                                                                   | JavaScript JSX     |         85 |          2 |          7 |         94 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\header\header.css                                                                                      | CSS                |         64 |          0 |         11 |         75 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\header\searchbar.jsx                                                                                   | JavaScript JSX     |        148 |         10 |         12 |        170 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\header\top-info.jsx                                                                                    | JavaScript JSX     |         25 |          0 |          4 |         29 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\header\topbar.jsx                                                                                      | JavaScript JSX     |        130 |          0 |          6 |        136 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\helpers\custom-button.jsx                                                                              | JavaScript JSX     |         21 |          0 |          3 |         24 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\helpers\scroll-to-top.jsx                                                                              | JavaScript JSX     |         39 |          0 |          8 |         47 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\info-section\info-section.css                                                                          | CSS                |          7 |          0 |          3 |         10 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\info-section\info-section.jsx                                                                          | JavaScript JSX     |         24 |          0 |          2 |         26 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\instructors-section\instructors-section.jsx                                                            | JavaScript JSX     |         54 |          0 |          4 |         58 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\last-banner\last-banner.css                                                                            | CSS                |          6 |          0 |          3 |          9 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\last-banner\last-banner.jsx                                                                            | JavaScript JSX     |         17 |          0 |          8 |         25 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\learners-students\learners-students.jsx                                                                | JavaScript JSX     |         46 |          0 |          3 |         49 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\logo-banner\logo-banner.jsx                                                                            | JavaScript JSX     |         28 |          0 |          4 |         32 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\main-section\main-section.css                                                                          | CSS                |         10 |          0 |          5 |         15 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\main-section\main-section.jsx                                                                          | JavaScript JSX     |         64 |          1 |          7 |         72 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\Stepper\index.jsx                                                                                | JavaScript JSX     |         37 |          0 |          4 |         41 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\Stepper\styles.module.css                                                                        | CSS                |         37 |          0 |          4 |         41 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\generalTopPageBanner\index.jsx                                                                   | JavaScript JSX     |         84 |          4 |         21 |        109 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\loading\index.jsx                                                                                | JavaScript JSX     |         22 |          0 |          3 |         25 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\navbar\index.jsx                                                                                 | JavaScript JSX     |        165 |         34 |         47 |        246 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\notification\index.jsx                                                                           | JavaScript JSX     |        150 |         15 |         23 |        188 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\notification\styles.module.css                                                                   | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\popup\index.jsx                                                                                  | JavaScript JSX     |         59 |          0 |         16 |         75 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\sidebarButton\index.jsx                                                                          | JavaScript JSX     |         30 |          2 |         11 |         43 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\sidebarButton\styles.module.css                                                                  | CSS                |         39 |          0 |          7 |         46 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\slider\index.jsx                                                                                 | JavaScript JSX     |        334 |         62 |         67 |        463 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\timeCountDown\index.jsx                                                                          | JavaScript JSX     |        111 |          5 |         18 |        134 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\top-class-courses\top-class-courses.jsx                                                                | JavaScript JSX     |         26 |          0 |          2 |         28 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\top-class-courses\top-courses-card.jsx                                                                 | JavaScript JSX     |         34 |          1 |          2 |         37 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\top-class-courses\top-courses.css                                                                      | CSS                |         14 |          0 |          1 |         15 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\video-section\video-section.css                                                                        | CSS                |         12 |          0 |          6 |         18 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\video-section\video-section.jsx                                                                        | JavaScript JSX     |         85 |          0 |          6 |         91 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\containers\auth\forgotPassword\index.jsx                                                                          | JavaScript JSX     |          9 |          0 |          3 |         12 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\containers\auth\login\admin\index.jsx                                                                             | JavaScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\containers\auth\login\index.jsx                                                                                   | JavaScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\containers\auth\login\student\index.jsx                                                                           | JavaScript JSX     |          9 |          0 |          3 |         12 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\containers\auth\login\teacher\index.jsx                                                                           | JavaScript JSX     |          9 |          0 |          3 |         12 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\containers\auth\register\index.jsx                                                                                | JavaScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\containers\auth\register\student\index.jsx                                                                        | JavaScript JSX     |         10 |          0 |          4 |         14 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\containers\auth\register\teacher\index.jsx                                                                        | JavaScript JSX     |         10 |          0 |          5 |         15 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\containers\auth\resetPassword\index.jsx                                                                           | JavaScript JSX     |         31 |          2 |         16 |         49 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\containers\auth\sendVerifyEmail\index.jsx                                                                         | JavaScript JSX     |          7 |          0 |         11 |         18 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\containers\auth\verifyEmail\index.jsx                                                                             | JavaScript JSX     |         33 |          8 |         11 |         52 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\containers\home\index.jsx                                                                                         | JavaScript JSX     |         36 |         10 |          7 |         53 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\containers\notification\index.jsx                                                                                 | JavaScript JSX     |          9 |          0 |          4 |         13 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\auth\decryptPassword.jsx                                                                                | JavaScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\auth\encryptPassword.jsx                                                                                | JavaScript JSX     |         12 |          0 |          6 |         18 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\auth\forgotPassword\index.jsx                                                                           | JavaScript JSX     |         53 |         10 |         10 |         73 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\auth\login\index.jsx                                                                                    | JavaScript JSX     |         28 |          3 |         14 |         45 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\auth\register\index.jsx                                                                                 | JavaScript JSX     |         32 |         17 |         15 |         64 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\auth\resetPassword\index.jsx                                                                            | JavaScript JSX     |         46 |          4 |         12 |         62 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\auth\sendVerifyEmail\index.jsx                                                                          | JavaScript JSX     |         47 |          0 |         19 |         66 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\auth\verifyEmail\index.jsx                                                                              | JavaScript JSX     |         43 |          6 |         17 |         66 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\other\calculateTime\index.jsx                                                                           | JavaScript JSX     |         30 |          4 |          6 |         40 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\other\mailStringCheck\index.jsx                                                                         | JavaScript JSX     |         14 |          4 |          5 |         23 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\other\rateLimitPageConfig\index.jsx                                                                     | JavaScript JSX     |         95 |         14 |         21 |        130 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\other\rateLimit\index.jsx                                                                               | JavaScript JSX     |         28 |          4 |         14 |         46 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\other\regularCheckSystemData\cookieTimeUpdate\index.jsx                                                 | JavaScript JSX     |         36 |         16 |         17 |         69 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\other\regularCheckSystemData\dataUpdateChecker\dataUpdateConfig.jsx                                     | JavaScript JSX     |         13 |          2 |          7 |         22 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\other\regularCheckSystemData\dataUpdateChecker\index.jsx                                                | JavaScript JSX     |         59 |         23 |         24 |        106 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\other\regularCheckSystemData\databaseWhenUpdate\index.jsx                                               | JavaScript JSX     |         26 |          3 |         13 |         42 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\other\regularCheckSystemData\newSystemDataProcess\index.jsx                                             | JavaScript JSX     |        104 |         22 |         62 |        188 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\other\secondCountDown\index.jsx                                                                         | JavaScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\functions\other\timeNow\index.jsx                                                                                 | JavaScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\jsconfig.json                                                                                                     | JSON with Comments |          8 |          0 |          1 |          9 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\lib\prisma\index.js                                                                                               | JavaScript         |         11 |          0 |          3 |         14 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\lib\table\useAuth.js                                                                                              | JavaScript         |          4 |          0 |          2 |          6 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\lib\table\useMediaQuery.jsx                                                                                       | JavaScript JSX     |         18 |          1 |          7 |         26 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\lib\table\utils.js                                                                                                | JavaScript         |          5 |          0 |          2 |          7 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\middleware.js                                                                                                     | JavaScript         |         88 |         23 |         24 |        135 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\mocks\allSchool.json                                                                                              | JSON               |    370,687 |          0 |          0 |    370,687 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\mocks\cities.json                                                                                                 | JSON               |      1,614 |          0 |          0 |      1,614 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\mocks\menuItems.js                                                                                                | JavaScript         |         55 |          0 |          0 |         55 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\next.config.js                                                                                                    | JavaScript         |         14 |          2 |          2 |         18 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\package-lock.json                                                                                                 | JSON               |      9,926 |          0 |          1 |      9,927 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\package.json                                                                                                      | JSON               |         83 |          0 |          1 |         84 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\auth\[...nextauth].jsx                                                                                  | JavaScript JSX     |         77 |         10 |         21 |        108 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\auth\forgotPassword\index.jsx                                                                           | JavaScript JSX     |         72 |          2 |         15 |         89 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\auth\login\index.jsx                                                                                    | JavaScript JSX     |         31 |          1 |         10 |         42 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\auth\register\index.jsx                                                                                 | JavaScript JSX     |        102 |          4 |         26 |        132 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\auth\resetPassword\index.jsx                                                                            | JavaScript JSX     |         54 |          3 |         12 |         69 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\auth\sendVerifyEmail\index.jsx                                                                          | JavaScript JSX     |         65 |          0 |         15 |         80 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\auth\verifyEmail\index.jsx                                                                              | JavaScript JSX     |         37 |          2 |         15 |         54 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\dashboard\admin\generalTopPageBanner\index.jsx                                                          | JavaScript JSX     |         40 |          1 |         17 |         58 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\games\1.js                                                                                              | JavaScript         |          7 |          0 |          0 |          7 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\mail\nodemailer.jsx                                                                                     | JavaScript JSX     |         11 |          0 |          2 |         13 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\mail\send.js                                                                                            | JavaScript         |         36 |          2 |         10 |         48 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\other\dataUpdateChecker\index.jsx                                                                       | JavaScript JSX     |         40 |          5 |         15 |         60 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\other\databaseWhenUpdate\index.jsx                                                                      | JavaScript JSX     |         37 |         10 |         19 |         66 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\other\generalTopPageBanner\index.jsx                                                                    | JavaScript JSX     |         16 |          1 |          4 |         21 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\other\slider\index.jsx                                                                                  | JavaScript JSX     |         16 |          1 |          5 |         22 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\pages\api\test\index.jsx                                                                                          | JavaScript JSX     |         10 |          0 |          5 |         15 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\postcss.config.js                                                                                                 | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\prisma\schema.prisma                                                                                              | Prisma             |         99 |          4 |         23 |        126 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\analytics-frame.html                   | HTML               |        117 |          0 |         10 |        127 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data\css\output.min.css          | CSS                |        795 |          0 |          1 |        796 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data\js\66G97JKGbvi.js           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data\js\6Al9aoXDwzh.js           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data\js\6KyPL6FoU7y.js           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data\js\6XAzJ3dbozj.js           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data\js\6XrKYZd3fxU.js           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data\js\6Y16Dzp19W0.js           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data\js\6ncsAY0Mier.js           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data\js\data.js                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data\js\frame.js                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\data\js\paths.js                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\lib\hls\hls.min.js               | JavaScript         |          1 |          1 |          0 |          2 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\lib\scripts\bootstrapper.min.js  | JavaScript         |          5 |         32 |          1 |         38 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\lib\scripts\frame.desktop.min.js | JavaScript         |          1 |          1 |          1 |          3 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\lib\scripts\frame.mobile.min.js  | JavaScript         |          1 |          1 |          1 |          3 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\lib\scripts\slides.min.js        | JavaScript         |          2 |         15 |          1 |         18 |
| c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\public\01. 4. Sınıf Matematik - 1. Ünite -  4-5-6 Basamaklı Sayılar - Test\html5\lib\stylesheets\desktop.min.css  | CSS                |          1 |          0 |          1 |          2 |
